position X, position Y, position Z, orientation X, orientation Y, orientation Z, distance, angle X, angle Y, angle Z
134.724, 1.49031, 0.0, 0.289391, 90.2894, 90.0, 114.457, 0.00073083, 0.28937, 0.0
134.724, 4.24858, 0.0, 1.04941, 88.9506, 90.0, 114.475, 0.00961008, -1.04944, 0.0
134.724, 11.7353, 0.0, 4.67332, 85.3266, 90.0, 114.838, 0.190484, -4.67339, 0.0
134.724, 22.7684, 0.0, 9.9386, 80.0614, 90.0, 116.2, 0.859854, -9.9386, 0.0
134.724, 36.1657, 0.0, 16.1049, 73.8951, 90.0, 119.131, 2.24912, -16.1049, 0.0
134.724, 50.7452, 0.0, 22.4038, 67.5962, 90.0, 123.8, 4.32875, -22.4038, 0.0
134.724, 65.3246, 0.0, 28.181, 61.819, 90.0, 129.848, 6.80783, -28.181, 0.0
134.724, 78.7219, 0.0, 32.9946, 57.0054, 90.0, 136.465, 9.28106, -32.9946, 0.0
134.724, 89.755, 0.0, 36.603, 53.397, 90.0, 142.574, 11.3741, -36.603, 0.0
134.724, 97.2417, 0.0, 38.875, 51.125, 90.0, 147.018, 12.7961, -38.875, 0.0
134.724, 100.0, 0.0, 39.6772, 50.3228, 90.0, 148.711, 13.3175, -39.6772, 0.0
134.724, 98.1, 0.0, 39.1266, 50.8734, 90.0, 147.542, 12.9586, -39.1266, 0.0
134.724, 92.8, 0.0, 37.5439, 52.4561, 90.0, 144.354, 11.9532, -37.5439, 0.0
134.724, 84.7, 0.0, 34.989, 55.011, 90.0, 139.706, 10.4127, -34.989, 0.0
134.724, 74.4, 0.0, 31.494, 58.506, 90.0, 134.229, 8.47078, -31.494, 0.0
134.724, 62.5, 0.0, 27.1051, 62.895, 90.0, 128.577, 6.30537, -27.1051, 0.0
134.724, 49.6, 0.0, 21.927, 68.073, 90.0, 123.381, 4.14839, -21.927, 0.0
134.724, 36.3, 0.0, 16.165, 73.835, 90.0, 119.167, 2.26585, -16.165, 0.0
134.724, 23.2, 0.0, 10.1417, 79.8583, 90.0, 116.273, 0.895273, -10.1417, 0.0
134.724, 10.9, 0.0, 4.27035, 85.7296, 90.0, 114.775, 0.159065, -4.27038, 0.0
134.724, 0.0, 0.0, 1.0124, 91.0127, 90.0, 114.474, 0.00894413, 1.0127, 0.0
134.724, -10.9, 0.0, 6.27867, 96.2787, 90.0, 115.147, 0.343677, 6.27866, 0.0
134.724, -23.2, 0.0, 12.0918, 102.092, 90.0, 117.053, 1.27132, 12.0918, 0.0
134.724, -36.3, 0.0, 18.0155, 108.015, 90.0, 120.357, 2.81017, 18.0155, 0.0
134.724, -49.6, 0.0, 23.6486, 113.649, 90.0, 124.949, 4.8172, 23.6486, 0.0
134.724, -62.5, 0.0, 28.6871, 118.687, 90.0, 130.471, 7.05058, 28.6871, 0.0
134.724, -74.4, 0.0, 32.9436, 122.944, 90.0, 136.386, 9.25299, 32.9436, 0.0
134.724, -84.7, 0.0, 36.3261, 126.326, 90.0, 142.065, 11.2062, 36.3261, 0.0
134.724, -92.8, 0.0, 38.7958, 128.796, 90.0, 146.854, 12.7452, 38.7958, 0.0
134.724, -98.1, 0.0, 40.3246, 130.325, 90.0, 150.128, 13.7455, 40.3247, 0.0
134.724, -100.0, 0.0, 40.8565, 130.856, 90.0, 151.327, 14.102, 40.8565, 0.0
134.724, -97.2, 0.0, 40.0698, 130.07, 90.0, 149.565, 13.5762, 40.0698, 0.0
