position X, position Y, position Z, orientation X, orientation Y, orientation Z, distance, angle X, angle Y, angle Z
-26.9776, -20.5859, 80.828, 107.926, 103.518, 22.7362, 35.6638, 0.00401274, -0.103766, -0.0250702
-24.9664, -22.2119, 80.8548, 105.63, 105.039, 21.9661, 35.4981, -1.53491, 0.54213, -0.320068
-19.4449, -26.2203, 80.634, 99.3304, 108.542, 20.9125, 35.1127, -5.87411, 1.63197, -0.814562
-11.2536, -31.1051, 79.6151, 89.9786, 112.065, 22.065, 34.7166, -12.5355, 1.62032, -0.825638
-1.64401, -35.5879, 77.3922, 78.8817, 113.903, 26.663, 34.4979, -20.6333, -0.594685, 0.102818
7.80994, -39.1151, 73.9359, 67.607, 113.557, 33.514, 34.5707, -28.9494, -4.98276, 1.93792
15.6766, -41.952, 69.627, 57.6954, 112.028, 40.7607, 34.9423, -36.3034, -10.3511, 4.16203
21.0052, -44.8216, 65.0926, 50.4777, 111.117, 46.9938, 35.4449, -41.7752, -14.8404, 6.01532
23.207, -48.4143, 60.9582, 47.1452, 112.533, 51.3221, 35.6638, -44.4531, -16.5601, 6.81907
22.5642, -53.9741, 56.7025, 48.5014, 117.922, 54.2296, 35.2972, -42.7221, -14.5872, 6.26512
19.7618, -61.433, 51.4803, 54.0834, 126.931, 57.1109, 34.8042, -36.8123, -10.2768, 4.79321
14.9521, -69.1584, 45.374, 62.7264, 137.777, 60.5575, 34.5667, -28.3797, -5.57695, 3.1118
8.76053, -75.7488, 38.7248, 72.7313, 148.577, 64.6224, 34.6608, -19.0413, -1.98185, 1.74563
2.18385, -80.4416, 32.1682, 82.4014, 157.401, 68.8502, 35.0028, -10.3258, -0.132178, 0.85648
-3.8131, -83.1837, 26.5096, 90.385, 162.556, 72.5608, 35.4312, -3.55639, 0.248582, 0.338662
-8.5767, -84.3408, 22.5541, 95.729, 164.013, 75.1257, 35.7259, 0.198582, -0.0098867, 0.0388023
-11.6987, -84.2984, 21.0162, 97.688, 164.013, 76.0691, 35.6639, 0.0316571, -0.0288132, -0.0978741
-13.8387, -83.606, 20.815, 97.5863, 164.04, 76.0428, 35.285, -2.55231, 0.345463, -0.261824
-15.9241, -82.6973, 20.4606, 97.2976, 164.108, 75.9606, 34.7636, -5.41073, 0.825232, -0.646914
-17.9536, -81.5973, 19.995, 96.8466, 164.188, 75.8174, 34.1458, -8.49796, 1.41934, -1.22497
-19.925, -80.3304, 19.46, 96.2566, 164.253, 75.6084, 33.4739, -11.7734, 2.13204, -1.96621
